department,course_number,course_title
ECON   ,464,FINANCIAL CRISIS
ECON   ,471,INTERNATIONAL TRADE 
ECON   ,472,INTERNATIONAL MACRO 
ECON   ,476,TRADE INVEST MIGRAT 
ECON   ,482,ECONOMETRIC THRY&PR 
ECON   ,483,ECONOMETRIC APP
ECON   ,485,GAME THEORY
ECON   ,491,ISSUES ECON DEVELOP 
ECON   ,497,H-HNRS DRCTD STUDY
ECON   ,499,UNDERGRAD RESEARCH
ECON   ,501,MICROECN ANLYS II
ECON   ,503,MACROECN ANLYS II
ECON   ,518,CONTRACT THEORY
ECON   ,534,EMPIRICAL INDUST ORG
ECON   ,539,NATURAL RESOURCES 3 
ECON   ,581,ECONOMETRICS II
ECON   ,584,ECONOMETRIC THY II
ECON   ,590,ECON IN TRANSITION
ECON   ,594,ECONOMIC GROWTH
ECON   ,600,INDEPNDNT STDY/RSCH 
ECON   ,601,INTERNSHIP
ECON   ,800,DOCTORAL DISSERTATN 
ENGL   ,102,CRIT READ & WRITING 
ENGL   ,103,WRITING FRM SOURCES 
ENGL   ,104,COMM STRATEGIES
ENGL   ,105,ENGL FOR INTL T.A.
ENGL   ,108,WRITING READY
ENGL   ,109,INTRODUCTORY COMP
ENGL   ,110,INTRODUCTORY COMP
ENGL   ,111,COMPOSITION: LIT
ENGL   ,115,WRITING STUDIO
ENGL   ,121,COMPOSTN: SOC ISSUE 
ENGL   ,131,COMPOSITN: EXPOSITN 
ENGL   ,182,MULTIMODAL COMP
ENGL   ,197,WRITING HUM
ENGL   ,198,WRITING/SOC SCI
ENGL   ,199,WRITING NAT SCI
ENGL   ,200,READING LIT FORMS
ENGL   ,202,INTRO ENGL LANG LIT 
ENGL   ,204,POP FICTION & MEDIA 
ENGL   ,207,INTRO CULTURE STUDY 
ENGL   ,210,LIT 400 TO 1600
ENGL   ,242,READ PROSE FICTION
ENGL   ,243,READING POETRY
ENGL   ,257,ASIAN-AMERICAN LIT
ENGL   ,259,LIT&SOC DIFFERENCE
ENGL   ,265,ENVIRNTL HUMANITIES 
ENGL   ,270,USES OF ENGL LANG
ENGL   ,277,CHILDREN'S & YA LIT 
ENGL   ,281,INTERMED EXPOS WRIT 
ENGL   ,282,INT MULTIMODAL COMP 
ENGL   ,283,BEGIN VERSE WRITING 
ENGL   ,284,BEG SHORT STRY WRIT 
ENGL   ,285,WRITERS ON WRITING
ENGL   ,295,STUDY ABROAD
ENGL   ,297,INTERMED WRIT HUM
ENGL   ,298,INTERMED WRIT SOC S 
ENGL   ,299,INT WRITING NAT SCI 
ENGL   ,300,READING MAJOR TEXTS 
ENGL   ,302,CRITICAL PRACTICE
ENGL   ,307,CULTURAL STUDIES
ENGL   ,316,POSTCLNIAL LIT&CLTR 
ENGL   ,318,BLACK LIT GENRES
ENGL   ,321,CHAUCER
ENGL   ,324,SHAKESPEAR AFT 1603 
ENGL   ,335,AGE OF VICTORIA
ENGL   ,337,MODERN NOVEL
ENGL   ,340,ANGLO-IRISH LIT
ENGL   ,342,CONTEMPORARY NOVEL
ENGL   ,352,EARLY AMER LIT
ENGL   ,354,EARLY 20TH C AM LIT 
ENGL   ,368,WOMEN WRITERS
ENGL   ,370,ENGL LANG STUDY
ENGL   ,381,ADV EXPOSITORY WRIT 
ENGL   ,382,SPECIAL MULTIMODAL
ENGL   ,383,THE CRAFT OF VERSE
ENGL   ,384,THE CRAFT OF PROSE
ENGL   ,395,STUDY ABROAD
ENGL   ,407,TOPICS CULTURE ST
ENGL   ,440,SPEC STUDIES IN LIT 
ENGL   ,466,QUEER & LGBT STUDIES
ENGL   ,471,TEACHING WRITING
ENGL   ,479,LANG VAR LANG POL
ENGL   ,483,ADV VERSE WORKSHOP
ENGL   ,484,ADV PROSE WORKSHOP
ENGL   ,491,INTERNSHIP
ENGL   ,493,CREATIVE WRIT CONF
ENGL   ,494,HONORS SEMINAR
ENGL   ,499,INDEPENDENT STUDY
ENGL   ,503,PRINT CULTR & PUBL
ENGL   ,510,HISTORY LIT CRIT 4
ENGL   ,512,INTRO READ OLD ENGL 
ENGL   ,518,SHAKESPEARE
ENGL   ,550,STDYS IN NARRATIVE
ENGL   ,556,CULTURAL STUDIES
ENGL   ,563,LANG/RHET METHODS
ENGL   ,564,CURR RHETORCL THRY
ENGL   ,570,PRACTICUM IN TESL
ENGL   ,571,TESOL THEOR & PRACT 
ENGL   ,574,RES IN SEC LANG ACQ 
ENGL   ,578,TESOL COLLOQUIUM
ENGL   ,581,CRTV WR AS CRIT RDR 
ENGL   ,584,ADV FICT WORKSHOP
ENGL   ,585,ADV POETRY WORKSHOP 
ENGL   ,586,GRAD WRITING CONF
ENGL   ,590,MA ESSAY
ENGL   ,597,DIRECTED READINGS
ENGL   ,600,INDEPNDNT STDY/RSCH 
ENGL   ,601,INTERNSHIP
ENGL   ,700,MASTERS THESIS
ENGL   ,800,DOCTORAL DISSERTATN 
FRENCH   ,101,ELEMENTARY FRENCH
FRENCH   ,102,ELEMENTARY FRENCH
FRENCH   ,103,ELEMENTARY FRENCH
FRENCH   ,201,INTERMEDIATE FRENCH 
FRENCH   ,202,INTERMEDIATE FRENCH 
FRENCH   ,203,INTERMEDIATE FRENCH 
FRENCH   ,212,MASTERWORKS: MODERN 
FRENCH   ,229,COMP IMMGRNT CULTURE
FRENCH   ,301,ADVANCED FRENCH
FRENCH   ,302,ADVANCED FRENCH
FRENCH   ,305,TEXTS & TRADITIONS 1
FRENCH   ,376,CULTR FRNCE TO REV
FRENCH   ,390,SUPERVISED STUDY
FRENCH   ,448,CLTR OF FRANCO-AMER 
FRENCH   ,470,CINEMA
FRENCH   ,499,SPEC TOPICS
FRENCH   ,553,TOPICS PRINT CULTR
FRENCH   ,590,SPEC SMNR & CONFER
FRENCH   ,600,INDEPNDNT STDY/RSCH 
FRENCH   ,800,DOCTORAL DISSERTATN 
ITAL   ,102,ELEMENTARY ITALIAN
ITAL   ,202,INTERMEDIATE ITAL
ITAL   ,250,ROME
ITAL   ,354,TRAVEL MIGRTN EXILE 
ITAL   ,390,SUPERVISED STUDY
ITAL   ,431,ITALIAN THEATER
ITAL   ,499,SPEC TOPICS
ITAL   ,553,TOPICS PRINT CULTR
ITAL   ,590,SPEC SMNR & CONFER
ITAL   ,600,INDEPNDNT STDY/RSCH 
GWSS   ,200,INTRO WOMEN STUDIES 
GWSS   ,241,HIP HOP& INDIE ROCK 
GWSS   ,244,INDIGENOUS FEMINSIMS
GWSS   ,257,PSYCH OF GENDER
GWSS   ,290,SPEC TOP WOMEN STDY 
GWSS   ,300,GEND RACE CLASS
GWSS   ,328,GENDER SEX CHINA
GWSS   ,374,TRANSGENDER STUDIES 
GWSS   ,390,INTERMEDIATE TOPICS 
GWSS   ,438,JEWISH WOMEN IN AMER
GWSS   ,455,CONTEMP FEM THEORY
GWSS   ,464,QUEER DESIRES
GWSS   ,487,ADV PSYCHOBIO WOMEN 
GWSS   ,490,SPEC TOP WOMEN STDY 
GWSS   ,493,SENIOR THSIS
GWSS   ,495,TUTORING WOMEN STDY 
GWSS   ,496,GLOBAL FEMINISMS
GWSS   ,497,FIELDWORK WOMEN ST
GWSS   ,499,UNDERGRAD RESEARCH
GWSS   ,502,CROSS DIS FEM THERY 
GWSS   ,590,SPECIAL TOPICS
GWSS   ,598,DIRECTED READINGS
GWSS   ,600,INDEPNDNT STDY/RSCH 
GWSS   ,700,MA THESIS
GWSS   ,701,MA PRACTICUM
GWSS   ,800,DOCTORAL DISSERTATN 
GEN ST   ,101,UNIV LEARNING SKILL 
GEN ST   ,197,FRESHMAN SEMINAR
GEN ST   ,199,UNIV COMMUNITY
GEN ST   ,297,UNDERGRAD SEMINAR
GEN ST   ,344,"FIELDWK,SOC SERV"
GEN ST   ,346,FIELDWK EDUC
GEN ST   ,347,FIELDWK-EDUCATION
GEN ST   ,350,INDEPENDENT FLDWK
GEN ST   ,391,SUP STDY SEL FIELDS 
GEN ST   ,470,UG PEER INSTR PRACT 
INDIV   ,493,SENIOR STUDY
GENOME   ,361,FUND GEN & GENOMICS 
GENOME   ,465,ADV HUMAN GENETICS
GENOME   ,466,CANCER GENETICS
GENOME   ,499,UNDERGRAD RESEARCH
GENOME   ,501,INTR RSRCH MATERIAL 
GENOME   ,520,SEMINAR
GENOME   ,521,SEM IN COMP BIO
GENOME   ,522,JOURNAL CLUB
GENOME   ,523,RESEARCH REPORTS
GENOME   ,525,TOPICS HUMAN GENET
GENOME   ,540,COMP MOL BIOL I
GENOME   ,553,ADV GENETIC ANLYSIS 
GENOME   ,559,STAT & COMP GENOMICS
GENOME   ,561,MOL POP GENET EVOL
GENOME   ,562,POPULATION GENETICS 
GENOME   ,565,ADV HUMAN GENETICS
GENOME   ,581,DROSOPHILA GENETICS 
GENOME   ,584,DNA REPLICATION
GENOME   ,600,INDEPNDNT STDY/RSCH 
GENOME   ,700,MASTERS THESIS
GENOME   ,800,DOCTORAL DISSERTATN 
GEOG   ,123,INTRO GLOBALIZATION 
GEOG   ,180,INTRO TO GLOBAL HLTH
GEOG   ,236,DEVELPMNT IN CHINA
GEOG   ,271,GEOG FOOD & EATING
GEOG   ,280,GEOG AND HEALTH
GEOG   ,315,EXPLAN UNDSTN GEOG
GEOG   ,317,GIS & SPATIAL ANLYS 
GEOG   ,342,GEOG INEQUALITY
GEOG   ,360,GIS AND MAPPING
GEOG   ,403,LATINX MIGRATIONS
GEOG   ,458,ADV DIGITAL GEOGS
GEOG   ,461,URBAN GIS
GEOG   ,462,COASTAL GIS
GEOG   ,491,PROF DEVEL FOR GEOG 
GEOG   ,494,SENIOR ESSAY
GEOG   ,496,INTERNSHIP IN GEOG
GEOG   ,497,TUTORIAL IN GEOG
GEOG   ,499,SPECIAL STUDIES
GEOG   ,505,CHINESE DEVELOPMENT 
GEOG   ,511,RESEARCH DESIGN
GEOG   ,574,SEM GEOG & LAW
GEOG   ,598,GEOG COLLOQUIUM
GEOG   ,600,INDEPNDNT STDY/RSCH 
GEOG   ,700,MASTERS THESIS
GEOG   ,800,DOCTORAL DISSERTATN 
GERMAN   ,101,FIRST-YEAR GERMAN
GERMAN   ,102,FIRST-YEAR GERMAN
GERMAN   ,103,FIRST-YEAR GERMAN
GERMAN   ,199,SUPERVISED STUDY
GERMAN   ,201,SECOND-YEAR GERMAN
GERMAN   ,202,SECOND-YEAR GERMAN
GERMAN   ,210,GERM LIT & THOUGHT
GERMAN   ,285,REPRSNTATION & DIV
GERMAN   ,298,TOPICS LIT &CULTURE 
GERMAN   ,299,SUPERVISED STUDY
GERMAN   ,302,CONVERSTN & WRITING 
GERMAN   ,401,ADV WRITING & CONVS 
GERMAN   ,422,STDS 19TH C LIT&CUL 
GERMAN   ,444,THESIS IN GERMANICS 
GERMAN   ,446,INTERNSHIP SERVICE
GERMAN   ,447,UNDERGRAD RESEARCH
GERMAN   ,497,STUDIES GERMAN LIT
GERMAN   ,498,STUDIES GERMAN LANG 
GERMAN   ,499,STDYS GERMN CULTURE 
GERMAN   ,500,LIT THEORY & BIBLIO 
GERMAN   ,575,TEACHING LIT-CIV
GERMAN   ,582,SEMINAR IN DRAMA
GERMAN   ,600,INDEPNDNT STDY/RSCH 
GERMAN   ,700,MASTERS THESIS
GERMAN   ,800,DOCTORAL DISSERTATN 
JSIS E   ,102,ELEMENTARY KHMER
JSIS E   ,111,ELEM MODERN GREEK
JSIS E   ,112,ELEM MODERN GREEK
JSIS E   ,202,INTERMEDIATE KHMER
JSIS E   ,302,ADVANCED KHMER
HSTAM   ,112,THE MEDIEVAL WORLD
HSTAM   ,231,RACE & ANCIENT WORLD
HSTAM   ,313,ROMAN EMPIRE
HSTAM   ,335,THE AGE OF NERO
HSTAM   ,370,THE VIKINGS
HSTCMP   ,205,FILIPINO HISTORIES
HSTCMP   ,209,HIST CHRISTIANITY
HSTCMP   ,250,JEWISH CULTURAL HIST
HSTCMP   ,290,TPCS COMPAR/GLBL HST
HSTCMP   ,292,HIST NEW MEDIA &TECH
HSTCMP   ,490,ADV TPC CMP/GLBL HST
HSTCMP   ,580,GENDER & HISTORY
HSTCMP   ,590,TOPICS IN HISTORY
HSTAFM   ,163,MODERN MIDDLE EAST
HSTAFM   ,570,ISRAEL/PALESTINE
HSTAS   ,212,HIST OF KOREAN CIV
HSTAS   ,254,MOD CHINA: 3 REVOLUT
HSTAS   ,402,HIST MED MUGHAL IND 
HSTAS   ,440,JAPAN ECOLOGICL HIST
HSTAS   ,452,CHN HST TO AD 1276
HSTAS   ,530,FLD CRS SE ASIAN HS 
HSTAS   ,540,JAPAN ECOLOGICL HIST
HSTLAC   ,385,COLONIAL LATIN AMER 
HSTEU   ,234,NAZI GRMNY & HOLOCST
HSTEU   ,250,ROME
HSTEU   ,252,HITLER-STALIN EUROPE
HSTEU   ,276,POSTWAR EUROPE
HSTEU   ,361,GOLDEN AGE SPAIN
HSTEU   ,454,BALTIC HISTORY
HSTAA   ,105,PEOPLES OF U.S.
HSTAA   ,150,INTRO AF AM HISTORY 
HSTAA   ,208,THE CITY
HSTAA   ,221,US ENVIRON HIST
HSTAA   ,290,TOPICS AMER HIST
HSTAA   ,312,EARLY HIST US WEST
HSTAA   ,402,NEW ENGL WITCHCRAFT 
HSTAA   ,406,ASIAN AM ACTIVISM
HSTAA   ,413,AMER WEST-HIST& FILM
HSTAA   ,522,AM HST-INTERPRET
HSTRY   ,288,TOPICS IN HISTORY
HSTRY   ,388,INTRO TO HISTORY
HSTRY   ,492,H-HISTORICAL MTHD
HSTRY   ,494,HISTORIOGRAPHY
HSTRY   ,495,HISTORY INTERNSHIP
HSTRY   ,498,COLLOQUIUM IN HIST
HSTRY   ,499,UNDERGRAD RESEARCH
HSTRY   ,596,RESEARCH SEMINAR
HSTRY   ,597,RESEARCH SEMINAR
HSTRY   ,600,INDEPNDNT STDY/RSCH 
HSTRY   ,800,DOCTORAL DISSERTATN 
HUM   ,201,INTRO HUMANITIES
HUM   ,596,HUMANITIES RSCH SEM 
HUM   ,597,SPEC TOPICS IN HUM
HUM   ,600,INDEPNDT STDY/RSCH
RELIG   ,201,"RELIGIONS,WESTERN"
RELIG   ,307,RELIG & WORLD POL
RELIG   ,320,COMPAR STUDY DEATH
RELIG   ,430,CLAS MUSLIM WRITING 
RELIG   ,455,SEM EAST ASIAN RELIG
RELIG   ,555,SEM EAST ASIAN RELIG
RELIG   ,598,COMPARATIVE RELIGION
JSIS   ,123,INTRO GLOBALIZATION 
JSIS   ,201,MAKING OF 21ST CENT 
JSIS   ,384,SPEC TOPICS E ASIA
JSIS   ,478,SPEC TOPICS GLOBAL
JSIS   ,480,SPEC TOPICS LAT AM
JSIS   ,483,SPEC TOPICS ASIA
JSIS   ,484,SPEC TOPICS E ASIA
JSIS   ,486,SPEC TOPICS SE ASIA 
JSIS   ,487,SPEC TPCS MID EAST
JSIS   ,492,SR HONORS SEMINAR
JSIS   ,493,SENIOR RESEARCH
JSIS   ,495,TASK FORCE
JSIS   ,497,INTERNSHIP
JSIS   ,498,ADVANCED READINGS
JSIS   ,499,UNDERGRAD RESEARCH
JSIS   ,512,QUAL DATA ANALYSIS
JSIS   ,537,INTERNAT MIGRATION
JSIS   ,578,SPEC TOPICS GLOBAL
JSIS   ,584,SPEC TOPICS E ASIA
JSIS   ,592,COLLOQUIUM INTL ST
JSIS   ,595,RESEARCH TUTORIAL
JSIS   ,596,RELIG/CLTR/CIVZTN
JSIS   ,597,STATE/MRKTS/SOCIETY 
JSIS   ,600,INDEPNDNT STDY/RSCH 
JSIS   ,700,MASTER'S THESIS
JSIS   ,800,DOCTORAL DISSERTATN 
JSIS A   ,205,FILIPINO HISTORIES
JSIS A   ,207,ASIA CIVS-TRADTIONS 
JSIS A   ,210,ISLAMIC CIVILZATION 
JSIS A   ,212,HIST OF KOREAN CIV
JSIS A   ,236,DEVELPMNT IN CHINA
JSIS A   ,239,GREECE ANCNT TO MODN
JSIS A   ,252,HITLER-STALIN EUROPE
JSIS A   ,254,MOD CHINA: 3 REVOLUT
JSIS A   ,302,POLTIC/CULTURES EUR 
JSIS A   ,305,CHANGING GENERATNS
JSIS A   ,324,HUMAN RIGHTS LAT AM 
JSIS A   ,328,GENDER SEX CHINA
JSIS A   ,350,U.S.-EUROPE RELATNS 
JSIS A   ,403,REPRESENT MOD CHINA 
JSIS A   ,416,NATO
JSIS A   ,427,ANTH POST-SOVIET
JSIS A   ,431,DEMOGRAPHIC ASIA
JSIS A   ,436,POLIT PARTIES JAPAN 
JSIS A   ,440,JAPAN ECOLOGICL HIST
JSIS A   ,463,TOPICS-SE ASIAN HST 
JSIS A   ,466,COMPAR POL KOREA ST 
JSIS A   ,469,N KOREAN SOCIETY
JSIS A   ,491,NEAR E METHODOLOGY
JSIS A   ,509,INTERDIS STUDY SAII 
JSIS A   ,515,REECAS THESIS SEM II
JSIS A   ,516,NATO
JSIS A   ,521,SM-INTRDSP ST CHINA 
JSIS A   ,536,POLIT PARTIES JAPAN 
JSIS A   ,539,JAPAN ECOLOGICL HIST
JSIS A   ,540,JAPANESE LAW
JSIS A   ,541,CHINESE LAW
JSIS A   ,545,SEM MID EAST STDIES 
JSIS A   ,548,NATL SECURITY JAPAN 
JSIS A   ,560,SMNR TURKISH STUDIES
JSIS A   ,566,COMPAR POL KOREA ST 
JSIS A   ,569,N KOREAN SOCIETY
JSIS A   ,570,ISRAEL/PALESTINE
JSIS A   ,580,FLD CRS SE ASIAN HS 
JSIS B   ,180,INTRO TO GLOBAL HLTH
JSIS B   ,324,IMMIGRATION
JSIS B   ,332,POL ECON INT TRADE
JSIS B   ,360,U.S. IN THE WORLD
JSIS B   ,391,CLIMATE CHANGE PERSP
JSIS B   ,416,PSYCHOANLYS INT ST
JSIS B   ,436,ETHNIC POLITICS
JSIS E   ,102,ELEMENTARY KHMER
JSIS E   ,111,ELEM MODERN GREEK
JSIS E   ,112,ELEM MODERN GREEK
JSIS E   ,202,INTERMEDIATE KHMER
JSIS E   ,302,ADVANCED KHMER
JEW ST   ,250,JEWISH CULTURAL HIST
JEW ST   ,318,JEWISH LIT & FILM
JEW ST   ,339,BIOETHICS PERSP
JEW ST   ,250,JEWISH CULTURAL HIST
JEW ST   ,318,JEWISH LIT & FILM
JEW ST   ,339,BIOETHICS PERSP
LSJ   ,200,INTR LAW SOC & JUST 
LSJ   ,230,INTRO DISABILITY ST 
LSJ   ,301,INTERNSHIP
LSJ   ,310,RESEARCH IN LSJ
LSJ   ,322,HUMAN RIGHTS LAT AM 
LSJ   ,332,DISABILITY & SOCIETY
LSJ   ,347,POLITICS OF INTL LAW
LSJ   ,361,US CTS & CIVIL LIB
LSJ   ,375,CRIME POL AND JUST
LSJ   ,376,DRUGS & SOCIETY
LSJ   ,377,PUNSHMNT THRY PRACT 
LSJ   ,401,FIELD EXPERNCE LSJ
LSJ   ,425,US ASYLM & RFUG LAW 
LSJ   ,431,CIVIL-MILI RELATION 
LSJ   ,433,DISABLTY LAW & PLCY 
LSJ   ,488,HONORS IN LSJ
LSJ   ,489,HONORS IN LSJ
LSJ   ,490,TOPICS LEGAL INSTIT 
LSJ   ,491,TOPICS IN RIGHTS
LSJ   ,499,READINGS IN LSJ
LSJ   ,510,TOPICS IN LAW & SOC 
ASL   ,102,ELEMENTARY ASL II
ASL   ,202,INTERMED ASL II
ASL   ,499,INDEPNDNT STDY/RSCH 
LING   ,100,FUND OF GRAMMAR
LING   ,200,INTRO LING THOUGHT
LING   ,234,LANG & DIVERSITY
LING   ,269,SWEARNG & TABOO LANG
LING   ,400,SUR LING MTHD & THY 
LING   ,403,LING OF SIGN LANG
LING   ,416,HIST CHIN LANG
LING   ,433,SOCIOLINGUISTICS II 
LING   ,441,LANG PROCESSING 1
LING   ,450,INTRO LING PHONET
LING   ,451,PHONOLOGY I
LING   ,453,EXPERIMENTAL PHON
LING   ,461,SYNTAX I
LING   ,462,SYNTAX II
LING   ,479,SEMANTICS II
LING   ,490,FIELDWORK
LING   ,499,UNDERGRAD RESEARCH
LING   ,508,SYNTACTIC THEORY II 
LING   ,516,HIST CHIN LANG
LING   ,533,METH SOCIOLING THRY 
LING   ,541,LANG PROCESSING 1
LING   ,548,2ND/FL TEACH CPSTON 
LING   ,550,INTRO LING PHONET
LING   ,551,PHONOLOGY I
LING   ,553,EXPERIMENTAL PHON
LING   ,566,SYNTAX COMPUT LING
LING   ,572,ADVANCED STAT NLP
LING   ,575,COMPUT LING TOPICS
LING   ,579,SEMANTIC THEORY II
LING   ,599,LING COLLOQUIUM
LING   ,600,INDEPNDNT STDY/RSCH 
LING   ,700,MASTERS THESIS
LING   ,800,DOCTORAL DISSERTATN 
LIT   ,298,TOPICS LIT &CULTURE 
MATH   ,102,ALGEBRA
MATH   ,103,INTRO ELEM FUNCTION 
MATH   ,111,ALGEBRA WITH APPL
MATH   ,112,BUSINESS &ECON CALC 
MATH   ,120,PRECALCULUS
MATH   ,124,CALC ANALYT GEOM I
MATH   ,125,CALC ANALYT GEOM II 
MATH   ,126,CALC ANYL GEOM III
MATH   ,135,ACCEL HONORS CALC
MATH   ,197,PROBLEM SOLVING
MATH   ,198,SPECIAL TOPICS
MATH   ,300,MATH REASONING
MATH   ,307,INTRO TO DIFF EQ
MATH   ,308,MATRIX ALGEBRA
MATH   ,309,LINEAR ANALYSIS
MATH   ,324,ADV MULTIVAR CALC 1 
MATH   ,327,INTRO REAL ANLYS I
MATH   ,335,H-ACCEL ADVAN CALC
MATH   ,340,ABSTRACT LINER ALG
MATH   ,381,DISCRETE MATH MODEL 
MATH   ,394,PROBABILITY I
MATH   ,395,PROBABILITY II
MATH   ,398,SPECIAL TOPICS
MATH   ,399,UNDERGRAD RESEARCH
MATH   ,403,INTRO MDRN ALGEBRA
MATH   ,407,LINEAR OPTIMIZATION 
MATH   ,409,DISCRETE OPTIMIZATN 
MATH   ,412,INTRO MDRN ALG-TCHR 
MATH   ,424,FUND CONCEPTS ANLYS 
MATH   ,425,FUND CONCEPTS ANLYS 
MATH   ,428,COMPLEX ANALYSIS
MATH   ,442,DIFFERENTIAL GEOMETR
MATH   ,444,GEOMTRY FOR TEACHRS 
MATH   ,462,COMBINATORIAL THEOR 
MATH   ,465,NUMERICAL ANLYS II
MATH   ,496,HONORS SR THESIS
MATH   ,498,SPEC TOPICS IN MATH 
MATH   ,505,MODERN ALGEBRA
MATH   ,508,ALGEBRAIC STRUCTURES
MATH   ,510,SEMINAR IN ALGEBRA
MATH   ,515,FUNDAMNTL OPTIMIZTN 
MATH   ,522,ADV PROBABILITY
MATH   ,525,REAL ANALYSIS
MATH   ,530,SEMINAR IN ANALYSIS 
MATH   ,535,COMPLEX ANALYSIS
MATH   ,545,DIFFERENTIAL GEOM
MATH   ,548,GEOMETRIC STRUCTURE 
MATH   ,550,SEMINAR IN GEOM
MATH   ,558,INTRO PARTL DIFF EQ 
MATH   ,570,SEMINAR IN TOPOLOGY 
MATH   ,574,FUND CONCEPTS ANLYS 
MATH   ,575,FUND CONCEPTS ANLYS 
MATH   ,580,CURRENT PROB SEM
MATH   ,582,SPECIAL TOPICS
MATH   ,585,BOUNDARY VALUE PROBS
MATH   ,590,SMNR PROBABILITY
MATH   ,597,SEMINAR ON TEACHING 
MATH   ,600,INDEPNDNT STDY/RSCH 
MATH   ,700,MASTERS THESIS
MATH   ,800,DOCTORAL DISSERTATN 
MUSIC   ,116,ELEM MUSIC THEORY
MUSIC   ,120,SURVEY OF MUSIC
MUSIC   ,131,HISTORY OF JAZZ
MUSIC   ,160,AMERICAN FOLK MUSIC 
MUSIC   ,162,AMER POP SONG
MUSIC   ,185,THE CONCERT SEASON
MUSIC   ,201,1ST YEAR THEORY I
MUSIC   ,204,1ST YR EAR TRN I
MUSIC   ,217,INTRODUCTORY COMP
MUSIC   ,240,REEDMAKING
MUSIC   ,301,2ND YR THEORY I
MUSIC   ,304,2ND YR EAR TRN I
MUSIC   ,327,REPERTOIRE
MUSIC   ,351,CHORAL CONDUCTING
MUSIC   ,366,SURVEY RECORDED MUS 
MUSIC   ,379,JUNIOR RECITAL
MUSIC   ,381,INSTRMNTL CONDUCTNG 
MUSIC   ,391,COMPOSITION
MUSIC   ,412,FREE IMP JZ COMP 2
MUSIC   ,435,PEDAGOGY
MUSIC   ,437,STUDIO CLASS
MUSIC   ,443,MUSIC AND COMMUNITY 
MUSIC   ,449,ADVANCED PIANO REP
MUSIC   ,459,ORGAN: BACH/PRESENT 
MUSIC   ,461,AD VO REP ART SONGS 
MUSIC   ,464,JAZZ LAB
MUSIC   ,468,ADV JAZZ IMPROV II
MUSIC   ,479,SENIOR RECITAL
MUSIC   ,484,CHORAL REP:20 CENT
MUSIC   ,485,ANALYSIS AMER MUSIC 
MUSIC   ,491,COMPOSITION
MUSIC   ,496,INSTRUMENTATION
MUSIC   ,498,SENIOR THESIS
MUSIC   ,499,UNDERGRAD RESEARCH
MUSIC   ,512,SMNR ETHNOMUSICOLGY 
MUSIC   ,543,MUSIC AND COMMUNITY 
MUSIC   ,551,PRACTICUM MUS INSTR 
MUSIC   ,553,ADV CHORAL TECHNIQS 
MUSIC   ,559,MASTERS RECITAL
MUSIC   ,577,20TH C COMPOSERS
MUSIC   ,581,ADVANCED CONDUCTING 
MUSIC   ,583,ADV CHORAL CONDUCTG 
MUSIC   ,590,KEYBOARD RECITAL
MUSIC   ,591,GRADUATE COMP
MUSIC   ,599,ADV SELECTED TOPICS 
MUSIC   ,600,INDEPNDNT STDY/RSCH 
MUSIC   ,700,MASTERS THESIS
MUSIC   ,800,DOCTORAL DISSERTATN 
MUSAP   ,133,BASIC KEYBOARD
MUSAP   ,134,BASIC KEYBOARD
MUSAP   ,135,BASIC KEYBOARD
MUSAP   ,205,STRING TECHNIQUES
MUSAP   ,210,WIND TECHNIQUES
MUSAP   ,218,GUITAR TECHNIQUES
MUSAP   ,233,SECONDARY PIANO
MUSAP   ,234,SECONDARY PIANO
MUSAP   ,235,SECONDARY PIANO
MUSAP   ,239,SECONDARY PIANO
MUSAP   ,389,WORLD MUSIC
MUSAP   ,589,WORLD MUSIC LAB
MUSED   ,301,TECH TEACH CHILDREN 
MUSED   ,340,MUSIC IN EDUCATION
MUSED   ,442,INSTR CURRICULUM
MUSED   ,496,SPEC MUS ED TOPICS
MUSED   ,522,PSYCH OF MUS TEACH
MUSED   ,575,RSCH APPLICATIONS
MUSEN   ,100,UNIVERSITY SINGERS
MUSEN   ,110,BEGINNING STEELBAND 
MUSEN   ,200,MEN'S GLEE CLUB
MUSEN   ,201,WOMEN'S CHORUS
MUSEN   ,210,CAMPUS PHL ORCHSTRA 
MUSEN   ,300,UW SYMPHONY
MUSEN   ,301,WIND ENSEMBLE
MUSEN   ,302,SYMPHONIC BAND
MUSEN   ,304,PERCUSSION ENSEMBLE 
MUSEN   ,305,BRASS ENSEMBLE
MUSEN   ,306,WOODWIND ENSEMBLE
MUSEN   ,307,RECITAL CHOIR
MUSEN   ,308,GUITAR ENSEMBLE
MUSEN   ,309,CONCERT BAND
MUSEN   ,325,ACCOMPANYING
MUSEN   ,345,JAZZ WORKSHOP
MUSEN   ,346,STUDIO JAZZ ENSBLE
MUSEN   ,350,UNIVERSITY CHORALE
MUSEN   ,351,CHAMBER SINGERS
MUSEN   ,368,HARP ENSEMBLE
MUSEN   ,369,BAROQUE CHAMBER ENS 
MUSEN   ,375,OPERA WORKSHOP
MUSEN   ,381,CHAMBER MUSIC
MUSEN   ,383,COLLEGIUM MUSICUM
MUSEN   ,384,MODERN ENSEMBLE
MUSEN   ,410,STEELBAND
MUSEN   ,446,ADV JAZZ ENSEMBLE
MUSEN   ,500,UW SYMPHONY
MUSEN   ,501,WIND ENSEMBLE
MUSEN   ,502,SYMPHONIC BAND
MUSEN   ,504,PERCUSSION ENSEMBLE 
